Time_Iter,Outer_Iter,Inner_Iter,rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],rms[nu],
,0,0,308,-2.451150087,-0.5838301108,-0.6427184331,3.639405963,-9.08137117
,0,0,309,-2.450799941,-0.5834556311,-0.6396263666,3.639575571,-9.071844278
,0,0,310,-2.45315547,-0.5828445501,-0.6369593044,3.63729315,-9.062965486
,0,0,311,-2.455600542,-0.582160923,-0.6342676346,3.634885865,-9.05369199
,0,0,312,-2.455219674,-0.5814926386,-0.6313694717,3.635111025,-9.042677676
,0,0,313,-2.457665055,-0.5805689673,-0.6289280168,3.632701638,-9.032207769
,0,0,314,-2.46013871,-0.5794132583,-0.6263829746,3.630268972,-9.021415558
,0,0,315,-2.459607009,-0.5781682254,-0.6236832163,3.63064175,-9.009095279
,0,0,316,-2.462121471,-0.5764802063,-0.6213625276,3.628176512,-8.997315243
,0,0,317,-2.464484342,-0.5746017099,-0.6190073259,3.625849243,-8.985293627
,0,0,318,-2.463971085,-0.5722837901,-0.6164125215,3.626216338,-8.972017317
